61.5	55
59.8	61
56.9	65
62.4	58
63.3	58
62.8	57
62.3	57
61.9	55
65.1	61
59.4	61
64	55
62.8	56
60.4	61
62.2	54
60.2	62
60.9	58
62	54
63.4	54
63.8	56
62.7	59
63.3	56
63.8	55
61	57
59.4	62
58.1	62
60.4	58
62.5	57
62.2	57
60.5	61
60.9	57
60	57
59.8	57
60.7	59
59.5	58
61.9	58
58.2	59
64.1	59
64	54
60.8	59
61.8	55
61.2	56
61.1	56
65.2	56
58.4	63
63.1	56
62.4	58
61.8	55
63.8	56
63.3	60
60.7	60
60.9	61
61.9	54
60.9	55
61.6	58
59.3	62
61	59
59.3	61
62.6	57
63	57
63.2	55
60.9	57
62.6	59
62.5	57
62.1	56
61.5	59
61.4	56
62	55.3
63.3	57
61.8	58
60.7	58
61.5	60
63.1	56
62.9	59
62.5	57
63.7	57
59.2	60
59.9	58
62.4	54
62.8	60
62.6	59
63.4	59
62.1	60
62.9	58
61.6	56
57.9	60
62.3	59
61.2	58
60.8	59
60.7	58
62.9	58
62.5	57
55.1	69
61.6	56
62.4	57
63.8	56
57.5	58
59.4	62
66.3	62
61.6	59
61.5	58
63.2	56
59.9	54
61.6	55
61.7	58
62.9	56
62.2	55
63	59
62.3	55
58.8	57
62	55
61.4	57
62.2	56
63	58
62.2	59
62.6	56
62.7	53
61.7	58
62.4	54
60.7	58
59.9	59
62.3	56
62.3	54
61.7	63
64.5	57
65.3	55
61.6	60
61.4	56
59.6	57
64.4	57
65.7	60
62	56
63.6	58
61.9	59
62.6	60
61.3	60
60.9	60
60.1	62
61.8	59
61.2	57
61.9	56
60.9	57
59.8	56
61.8	55
60	57
61.6	55
62.1	64
63.3	59
60.2	56
61.1	58
60.9	57
61.7	59
61.3	56
62.5	60
61.4	59
62.9	57
62.4	57
60.7	56
60.7	58
61.5	58
59.9	57
59.2	59
60.3	56
61.7	60
61.9	57
61.9	55
60.4	59
61	57
61.5	55
61.7	56
59.2	61
61.3	56
58	62
60.2	61
61.7	55
62.7	55
64.6	54
61.3	61
63.7	56.4
62.7	58
62.2	57
61.6	56
61.5	57
61.8	56
60.7	56
59.7	60.5
60.5	56
62.7	58
62.1	58
62.8	57
63.8	58
57.8	60
62.1	55
61.1	60
60	59
61.2	57
62.7	59
61	57
61	58
61.4	57
61.8	61
59.9	63
61.3	58
60.5	58
64.1	59
67.9	60
62.4	58
63.2	60
61.3	55
60.8	56
61.7	56
63.6	57
61.2	58
62.1	54
61.5	55
61.4	59
61.8	60
62.2	56
61.2	56
60.6	63
57.5	64
61.3	56
57.2	62
62.9	60
63.1	58
60.8	57
62.7	59
62.8	60
55.1	67
61.4	59
62.2	55
63	54
63.7	56
63.6	58
62	57
61.5	56
60.5	60
61.1	60
61.8	56
63.3	56
59.4	64
62.5	55
64.5	58
62.7	59
64.2	52
63.7	54
60.4	58
61.8	58
63.2	56
61.6	56
61.6	56
60.9	57
61	61
62.1	57
60.9	60
61.3	60
65.8	59
61.3	56
58.8	59
62.3	55
60.1	62
61.8	59
63.6	55.8
62.2	56
59.2	59
61.8	59
61.3	55
62.1	60
60.7	60
59.6	57
62.2	56
60.6	57
62.9	57
64.1	55
61.3	56
62.7	55
63.2	56
60.7	56
61.9	60
62.6	55
60.7	60
62	60
63	57
58	59
62.9	57
58.2	60
63.2	58
61.3	59
60.3	60
62.7	60
61.3	58
61.6	60
61.9	55
61.7	56
61.9	58
61.8	58
61.6	56
58.8	66
61	57
67.4	60
63.4	60
61.5	59
58	62
62.4	54
61.9	57
61.6	56
62.2	59
62.2	58
61.3	56
62.3	57
61.8	57
62.5	59
62.9	60
61.8	59
62.3	56
59	70
60.7	55
62.5	55
62.7	58
60.4	57
62.1	58
57.8	60
63.8	58
62.8	57
62.2	58
62.3	58
59.9	58
61.9	54
63	55
62.4	58
62.9	58
63.5	56
61.3	56
60.6	54
65.1	58
62.6	58
58	62
62.4	61
61.3	57
59.9	60
60.8	58
63.5	55
62.2	57
63.8	58
64	57
62.5	56
62.3	58
61.7	57
62.2	58
61.5	56
61	59
62.2	56
61.5	54
67.3	59
61.7	58
61.9	56
61.8	58
58.7	66
62.5	57
62.8	56
61.1	68
64	57
62.5	60
60.6	58
61.6	55
62.2	58
60	57
61.9	57
62.8	57
62	57
66.4	59
63.4	56
60.9	56
63.1	57
63.1	59
59.2	57
60.7	54
64.6	56
61.8	56
59.9	60
61.7	55
62.8	61
62.7	57
63.4	58
63.5	54
65.7	59
68.1	56
63	60
59.5	58
63.5	59
61.7	58
62.7	58
62.8	58
62.4	57
61	59
63.1	56
60.7	57
60.9	59
60.1	55
62.9	58
63.3	56
63.8	55
62.9	57
63.4	60
63.9	55
61.4	56
61.9	55
62.4	55
61.8	58
61.5	56
60.4	57
61.8	55
62	56
62.3	56
61.6	56
60.6	56
58.4	62
61.4	58
61.9	56
62	56
61.5	57
62.3	58
60.9	61
62.4	57
55	61
58.6	60
62	57
59.8	58
63.4	55
64.3	58
62.2	59
61.7	57
61.1	59
61.5	56
58.5	62
61.7	58
60.4	56
61.4	56
61.5	55
61.4	56
65	56
56	60
60.2	59
58.3	58
53.1	63
60.3	58
61.4	56
60.1	57
63.4	55
61.5	59
62.7	56
62.5	55
61.3	56
60.2	56
62.7	57
62.3	58
61.5	56
59.2	59
61.8	59
61.3	55
61.4	58
62.8	55
62.8	64
62.4	61
59.3	60
63	60
61.3	60
59.3	62
61	57
62.9	57
59.6	57
61.8	60
62.7	57
65.3	62
63.8	58
62.3	56
59.7	63
64.3	60
62.9	58
62	57
61.6	59
61.9	55
61.3	58
63.6	57
59.6	61
62.2	59
61.7	55
63.2	58
60.8	60
60.3	59
60.9	60
62.4	59
60.2	60
62	55
60.8	57
62.1	55
62.7	60
61.3	58
60.2	60
60.7	56
